comments,labels
ලෝක පාපන්දු සම්මේලනයේ සභාපති සෙප් බ්ලැටර් ස්වකීය ධූරයෙන් ඉල්ලා අස්වීම නිවේදනය කර තිබේ.,3
තමාට එරෙහිව ඇති දූෂණ චෝදනා පිළිබඳ ස්වාධීන පරීක්ෂණයක් සිදුකිරීමට ඉඩ ප්‍රස්ථාව ලබාදීමට මෙලෙස අස්වන බව හෙතෙම මාධ්‍ය හමුවක් කැඳවමින් පැවසූ බව විදෙස් පුවත් සේවා අනාවරණය කරයි.,3
"ලෝක පාපන්දු ක්‍රීඩාවේ අනාගතයටත්, කටාර් හා රුසියාව තුළ පැවැත්වීමට නියමිත ඉදිරි පාපන්දු ලෝක කුසලාන තරඟාවලින් වලටද මෙමගින් යම් බලපෑමක් එල්ලවනු ඇතැයි කියැවෙයි.",3
පසුගියදා පැවති නිලවරණයෙන් පස් වන වතාවටත් තේරීපත්වූ සෙප් බ්ලැටර් ලෝක පාපන්දු ක්ෂේත්‍රයේ ඉහළ පෙල තනතුර 17 වසරක් පුරාවට උසුළා තිබේ.,3
අන්තර්ජාතික පාපන්දු සංගමයේ නව සභාවතිවරයා ලෙස පස්වන වතාවටත් සෙප් බ්ලැටර් මහතා තේරී පත් වී තිබේ.,3
79 හැවිරිදි ස්විස්ටර්ලන්ත ජාතික ඔහුට එරෙහිව විවිධ අපවාද චෝදනා නැඟුණේ තම පාලන කාලය ඇතුළත වෙනත් අය විසින් සිදුකළ ඩොලර් මිලියන 100කට වැඩි වංචා සම්බන්ධයෙන් කිසිවක් සිදුනොකළ බව කියමිනි.,3
කෙසේ වෙතත් ජයග‍්‍රහණය සඳහා අවශ්‍ය ඡන්ද 140 පළමු වටයේ දී ම ලබාගැනීමට ඔහු සමත් වී නොමැත.,3
බ්ලැටර් ඡන්ද 133ක් ලබාගත් අතර ප‍්‍රතිවාදී අලි බින් අල් හුසේන් කුමරුට හිමි කරගත වූයේ ඡන්ද 73ක් පමණි.,3
ලබන වසරේ තරඟ සංචාරයක් සඳහා ශ්‍රී ලංකා ක්‍රිකට් කණ්ඩායම පකිස්ථානයට පැමිණෙනු ඇති බවට එරට ක්‍රිකට් පාලක මණ්ඩලය පවසයි.,3
ලබන වසරේ අප්‍රේල් මසයේදී එම තරඟාවලිය සංවිධානය කිරිමට පාකිස්ථාන ක්‍රිකට් පාලක මණ්ඩලය සැලසුම්කර ඇත.,3
ඒ අනුව ක්‍රිකට් අතුරු කමිටුවේ සභාපති සිදත් වෙත්තමුණා මහතා පාකිස්ථානයේ සංචාරයක නිරත විමට නියමිත අතර එහිදී මේ සම්බන්ධයෙන් සාකච්ඡා කිරීමට බලාපොරොත්තු වන බව එරට ක්‍රිකට් පාලක මණ්ඩලය ප්‍රකාශ කර තිබේ.,3
